Black Body Radiation Experiment Tue, Nov 23, 2021 11:00 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	0.00160
0.02070	0.00073
0.03104	0.00014
0.04139	-0.00022
0.05174	-0.00039
0.05174	-0.00043
0.06209	-0.00037
0.07244	-0.00068
0.07244	-0.00031
0.07244	-0.00008
0.07244	-0.00015
0.07244	-0.00028
0.09313	0.00032
0.11383	0.00082
0.15522	0.00085
0.30010	0.00166
0.51741	0.00192
0.78646	0.00204
1.03482	0.00204
1.22109	0.00111
1.42805	0.00075
1.55223	-0.00038
1.64536	-0.00134
1.67641	-0.00136
1.67641	-0.00093
1.67641	-0.00079
1.67641	-0.00107
1.67641	-0.00043
1.67641	0.00008
1.67641	0.00026
1.67641	0.00016
1.67641	-0.00007
1.67641	0.00008
1.67641	-0.00028
1.68676	0.00027
1.73850	0.00112
1.85233	0.00107
2.01790	0.00160
2.22486	0.00121
2.41113	0.00190
2.62844	0.00215
2.80436	0.00180
2.95958	0.00079
3.09411	0.00033
3.21829	-0.00024
3.35282	-0.00053
3.45630	-0.00066
3.58048	-0.00117
3.70465	-0.00145
3.82883	-0.00089
3.97371	-0.00079
4.11858	-0.00071
4.28415	-0.00088
4.42903	-0.00126
4.59460	-0.00141
4.73947	-0.00064
4.85330	-0.00034
4.94644	0.00035
5.03957	0.00038
5.12236	0.00017
5.22584	-0.00050
5.31897	-0.00125
5.40176	-0.00155
5.48454	-0.00178
5.55698	-0.00187
5.60872	-0.00195
5.66046	-0.00161
5.70186	-0.00108
5.74325	-0.00099
5.75360	-0.00013
5.76395	0.00034
5.76395	0.00065
5.77429	0.00036
5.79499	0.00106
5.81569	0.00149
5.84673	0.00177
5.88812	0.00182
5.95021	0.00081
6.04335	0.00019
6.13648	-0.00024
6.29170	-0.00058
6.46762	-0.00046
6.64354	-0.00106
6.85051	-0.00139
7.05747	-0.00167
7.28513	-0.00165
7.55418	-0.00162
7.76115	-0.00148
7.98881	-0.00089
8.20612	-0.00010
8.42343	0.00099
8.63040	0.00178
8.83736	0.00260
9.01328	0.00291
9.25129	0.00348
9.44790	0.00423
9.63417	0.00483
9.78939	0.00453
9.96531	0.00383
10.12054	0.00317
10.28611	0.00305
10.45168	0.00307
10.61725	0.00205
10.78282	0.00131
10.95874	0.00076
11.11396	0.00104
11.27953	0.00196
11.36232	0.00269
11.54859	0.00384
11.65207	0.00411
11.85903	0.00387
12.03495	0.00395
12.16948	0.00360
12.33505	0.00345
12.47992	0.00265
12.64550	0.00225
12.82141	0.00227
13.00768	0.00224
13.18360	0.00192
13.34917	0.00256
13.50440	0.00371
13.65962	0.00441
13.84589	0.00463
14.02181	0.00439
14.20807	0.00461
14.38399	0.00551
14.62200	0.00590
14.77722	0.00733
14.95314	0.00798
15.10837	0.00848
15.27394	0.00907
15.49125	0.01150
15.66717	0.01353
15.83274	0.01574
16.06040	0.01834
16.22597	0.02233
16.46398	0.02710
16.73303	0.03383
16.96069	0.04250
17.15731	0.05325
17.41601	0.06653
17.69542	0.08344
17.96447	0.10279
18.19213	0.12625
18.46118	0.15230
18.70954	0.18037
18.98894	0.21116
19.21660	0.24389
19.48565	0.27617
19.73401	0.31025
19.99271	0.34435
20.27212	0.37722
20.53082	0.40994
20.76883	0.44106
21.02753	0.46947
21.30694	0.49632
21.55529	0.52063
21.81400	0.54105
22.05201	0.55947
22.27967	0.57424
22.49698	0.58702
22.74534	0.59808
22.92125	0.60656
23.17996	0.61362
23.33518	0.61917
23.57319	0.62374
23.71807	0.62682
23.87329	0.62902
24.04921	0.63002
24.23548	0.62955
24.45279	0.62794
24.61836	0.62473
24.77358	0.62084
24.93915	0.61504
25.09438	0.60749
25.25995	0.59859
25.42552	0.58696
25.58074	0.57276
25.74631	0.55473
25.90153	0.53312
26.06711	0.50756
26.24303	0.47795
26.38790	0.44434
26.56382	0.40706
26.71904	0.36711
26.89496	0.32552
27.06053	0.28356
27.20541	0.24283
27.37098	0.20435
27.54690	0.16996
27.72282	0.13920
27.88839	0.11308
28.07466	0.09124
28.25058	0.07426
28.42649	0.06147
28.61276	0.05169
28.77833	0.04407
28.96460	0.03787
29.15087	0.03343
29.35783	0.03008
29.54410	0.02740
29.73037	0.02497
29.95803	0.02236
30.15464	0.01914
