Black Body Radiation Experiment Tue, Nov 23, 2021 11:24 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	-0.00155
0.01035	-0.00101
0.01035	-0.00049
0.01035	-0.00001
0.01035	0.00040
0.02070	0.00072
0.02070	0.00092
0.02070	0.00120
0.02070	0.00012
0.02070	-0.00031
0.03104	-0.00050
0.03104	-0.00039
0.03104	0.00016
0.04139	0.00089
0.04139	0.00117
0.04139	0.00142
0.05174	0.00132
0.05174	0.00124
0.06209	0.00182
0.06209	0.00167
0.06209	0.00151
0.07244	0.00146
0.07244	0.00209
0.07244	0.00250
0.07244	0.00285
0.08279	0.00294
0.08279	0.00287
0.09313	0.00307
0.10348	0.00363
0.12418	0.00352
0.14487	0.00403
0.17592	0.00357
0.22766	0.00395
0.28975	0.00329
0.39323	0.00209
0.50706	0.00150
0.73472	0.00055
0.99343	-0.00016
1.15900	-0.00018
1.31422	-0.00008
1.50049	0.00005
1.66606	-0.00039
1.84198	0.00008
2.02825	0.00000
2.19382	0.00136
2.35939	0.00176
2.51461	0.00201
2.65949	0.00261
2.80436	0.00321
2.94924	0.00464
3.06307	0.00582
3.24933	0.00616
3.39421	0.00578
3.52873	0.00525
3.68396	0.00478
3.92197	0.00419
4.08754	0.00415
4.22206	0.00365
4.39798	0.00309
4.56355	0.00264
4.74982	0.00350
4.94644	0.00424
5.08096	0.00448
5.25688	0.00543
5.48454	0.00597
5.69151	0.00565
5.92952	0.00571
6.17787	0.00514
6.40553	0.00484
6.62285	0.00454
6.86085	0.00407
7.10921	0.00375
7.32652	0.00400
7.57488	0.00404
7.81289	0.00398
8.06124	0.00472
8.33030	0.00508
8.54761	0.00491
8.78562	0.00507
9.03398	0.00542
9.25129	0.00629
9.46860	0.00720
9.68591	0.00791
9.88253	0.00900
10.03775	0.01001
10.20332	0.01056
10.39994	0.01023
10.54481	0.00976
10.66899	0.00949
10.79317	0.00860
10.90700	0.00829
11.00013	0.00849
11.07257	0.00876
11.13466	0.00884
11.16570	0.00910
11.21744	0.00884
11.28988	0.00899
11.35197	0.00946
11.41406	0.00971
11.45545	0.01010
11.49685	0.01082
11.53824	0.01090
11.57963	0.01163
11.62102	0.01161
11.65207	0.01226
11.68311	0.01203
11.72451	0.01159
11.76590	0.01040
11.80729	0.00993
11.84868	0.01032
11.86938	0.01020
11.87973	0.01102
11.93147	0.01144
12.04530	0.01144
12.11774	0.01115
12.17983	0.01090
12.26261	0.01149
12.35575	0.01051
12.46958	0.00973
12.59375	0.00915
12.68689	0.00899
12.82141	0.00999
12.93525	0.01120
13.08012	0.01241
13.21465	0.01315
13.35952	0.01372
13.51474	0.01437
13.74240	0.01530
13.99076	0.01573
14.15633	0.01512
14.35295	0.01497
14.52887	0.01591
14.71513	0.01775
15.00488	0.02132
15.18080	0.02450
15.36707	0.02842
15.62578	0.03361
15.85344	0.04054
16.09144	0.04980
16.35015	0.06035
16.57781	0.07312
16.80547	0.08827
17.01243	0.10677
17.20905	0.13007
17.41601	0.15730
17.64367	0.18998
17.89203	0.22691
18.14039	0.26845
18.36805	0.31429
18.63710	0.36491
18.91650	0.42026
19.15451	0.47916
19.42356	0.54032
19.65122	0.60361
19.90993	0.66722
20.16863	0.73013
20.45838	0.79149
20.74813	0.85096
21.04823	0.90643
21.33798	0.95663
21.63808	1.00155
21.92783	1.04173
22.17618	1.07636
22.46593	1.10713
22.74534	1.13240
22.94195	1.15427
23.25240	1.17114
23.46971	1.18342
23.83190	1.19165
24.09060	1.19567
24.30791	1.19625
24.56662	1.19240
24.77358	1.18288
25.00124	1.16755
25.22890	1.14548
25.48761	1.11641
25.70492	1.07637
25.93258	1.02570
26.13954	0.96316
26.36720	0.88865
26.56382	0.80500
26.79148	0.71554
27.00879	0.62429
27.22610	0.53498
27.42272	0.45063
27.65038	0.37531
27.84700	0.31108
28.06431	0.25716
28.26092	0.21345
28.45754	0.17824
28.64381	0.14981
28.83007	0.12682
29.04739	0.10845
29.25435	0.09382
29.44062	0.08200
29.66828	0.07207
29.88559	0.06310
30.10290	0.05416
