Black Body Radiation Experiment Tue, Nov 23, 2021 10:55 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02630
0.00000	-0.02968
0.00000	-0.02388
0.00000	-0.02711
0.00000	-0.02356
0.00000	-0.02501
0.01035	-0.02421
0.01035	-0.02823
0.01035	-0.02888
0.01035	-0.02872
0.01035	-0.02566
0.01035	-0.02227
0.02070	-0.02566
0.02070	-0.02662
0.02070	-0.02807
0.02070	-0.02727
0.02070	-0.02356
0.02070	-0.02437
0.02070	-0.02711
0.02070	-0.02968
0.02070	-0.02227
0.02070	-0.02566
0.02070	-0.02727
0.02070	-0.02614
0.02070	-0.02566
0.02070	-0.02308
0.02070	-0.02646
0.02070	-0.02630
0.02070	-0.02131
0.02070	-0.02566
0.03104	-0.02630
0.03104	-0.02952
0.03104	-0.02066
0.03104	-0.02517
0.04139	-0.02179
0.05174	-0.02759
0.06209	-0.03113
0.07244	-0.02678
0.10348	-0.02775
0.12418	-0.02759
0.14487	-0.03081
0.17592	-0.02727
0.20696	-0.02549
0.23801	-0.02340
0.26905	-0.02324
0.30010	-0.02259
0.34149	-0.02147
0.38288	-0.02437
0.44497	-0.02839
0.52776	-0.02485
0.62089	-0.02533
0.73472	-0.02791
0.86925	-0.03081
0.96238	-0.02936
1.00378	-0.02646
1.03482	-0.02984
1.05552	-0.02888
1.06586	-0.02711
1.07621	-0.02662
1.07621	-0.02549
1.08656	-0.02404
1.09691	-0.02163
1.10726	-0.02469
1.11761	-0.02292
1.12795	-0.02421
1.15900	-0.02694
1.17969	-0.02243
1.23144	-0.02501
1.33492	-0.02308
1.50049	-0.02147
1.66606	-0.02308
1.80059	-0.02936
1.96616	-0.02775
2.12138	-0.02678
2.26625	-0.02872
2.43183	-0.02791
2.58705	-0.02630
2.70088	-0.02920
2.79401	-0.03178
2.86645	-0.02098
2.95958	-0.02727
3.01133	-0.02598
3.05272	-0.03081
3.11481	-0.02823
3.17690	-0.02533
3.23899	-0.02566
3.30107	-0.02195
3.37351	-0.02163
3.42525	-0.02356
3.49769	-0.02276
3.55978	-0.01889
3.62187	-0.01905
3.71500	-0.02759
3.76674	-0.02678
3.80814	-0.02936
3.87023	-0.02839
3.93231	-0.02517
4.00475	-0.03113
4.05649	-0.02711
4.11858	-0.02614
4.19102	-0.02566
4.27380	-0.02968
4.36694	-0.02308
4.46007	-0.02356
4.56355	-0.02469
4.68773	-0.02453
4.81191	-0.02743
4.96713	-0.02549
5.13271	-0.02276
5.28793	-0.02243
5.43280	-0.02018
5.57768	-0.02292
5.74325	-0.01728
