Black Body Radiation Experiment Tue, Nov 23, 2021 10:54 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.02662
0.00000	-0.02276
0.00000	-0.02856
0.00000	-0.02598
0.00000	-0.02678
0.01035	-0.02711
0.01035	-0.02662
0.01035	-0.02066
0.01035	-0.01889
0.01035	-0.02147
0.02070	-0.01970
0.02070	-0.02485
0.02070	-0.02662
0.02070	-0.02952
0.02070	-0.02082
0.04139	-0.02437
0.05174	-0.02501
0.06209	-0.02598
0.07244	-0.02630
0.08279	-0.02936
0.08279	-0.02904
0.09313	-0.02904
0.10348	-0.02856
0.10348	-0.02437
0.11383	-0.02292
0.12418	-0.02614
0.13453	-0.02743
0.14487	-0.02018
0.15522	-0.02614
0.16557	-0.02759
0.17592	-0.02614
0.18627	-0.02533
0.20696	-0.02147
0.22766	-0.01953
0.25870	-0.02630
0.28975	-0.02888
0.31045	-0.02259
0.35184	-0.02566
0.37254	-0.02743
0.39323	-0.02694
0.43462	-0.02856
0.48637	-0.02952
0.55880	-0.02533
0.64159	-0.02823
0.74507	-0.02356
0.85890	-0.02404
0.97273	-0.02211
1.05552	-0.02920
1.07621	-0.02582
1.09691	-0.03081
1.09691	-0.02694
1.10726	-0.02340
1.10726	-0.02872
1.10726	-0.02888
1.10726	-0.02775
1.10726	-0.02437
1.11761	-0.02582
1.11761	-0.02646
1.13830	-0.02823
1.14865	-0.02791
1.15900	-0.02743
1.16935	-0.02807
1.17969	-0.02292
1.17969	-0.02340
1.19004	-0.02453
1.20039	-0.02437
1.21074	-0.02743
1.23144	-0.02743
1.25213	-0.02662
1.27283	-0.02179
1.34527	-0.02131
1.44875	-0.02211
1.57293	-0.02227
1.67641	-0.02453
1.83163	-0.02421
1.96616	-0.02646
2.10068	-0.02372
2.21451	-0.02501
2.29730	-0.02936
2.34904	-0.02453
2.36974	-0.02404
2.38009	-0.02920
2.39043	-0.02920
2.39043	-0.02952
2.39043	-0.02678
2.39043	-0.02211
2.39043	-0.02630
2.40078	-0.02404
2.41113	-0.02485
2.42148	-0.02227
2.43183	-0.02598
2.45252	-0.02453
2.47322	-0.02566
2.50426	-0.02856
2.52496	-0.03081
2.55600	-0.02501
2.58705	-0.02549
2.61809	-0.02324
2.64914	-0.02711
2.69053	-0.02614
2.73192	-0.02711
2.78366	-0.02356
2.84575	-0.02308
2.90784	-0.02356
