Black Body Radiation Experiment Tue, Nov 23, 2021 11:25 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	-0.00168
0.01035	-0.00064
0.02070	0.00009
0.03104	0.00054
0.04139	0.00075
0.06209	0.00077
0.08279	0.00063
0.12418	0.00004
0.19662	-0.00023
0.30010	-0.00027
0.55880	-0.00009
0.94169	0.00006
1.33492	-0.00001
1.81093	0.00006
2.04894	0.00061
2.24556	0.00038
2.36974	0.00011
2.45252	0.00005
2.49392	-0.00062
2.53531	-0.00061
2.56635	-0.00059
2.59740	0.00035
2.64914	0.00158
2.72158	0.00236
2.83541	0.00242
2.96993	0.00252
3.14585	0.00160
3.34247	0.00012
3.49769	-0.00081
3.65291	-0.00135
3.76674	-0.00137
3.87023	-0.00181
3.97371	-0.00129
4.06684	-0.00075
4.14963	-0.00015
4.23241	0.00020
4.32555	0.00059
4.42903	0.00032
4.54286	0.00003
4.67738	-0.00092
4.83261	-0.00121
5.02922	-0.00123
5.23619	-0.00101
5.42245	-0.00097
5.62942	-0.00021
5.81569	0.00010
5.98126	0.00065
6.11578	0.00173
6.21927	0.00281
6.33310	0.00280
6.45727	0.00285
6.56076	0.00292
6.65389	0.00373
6.73668	0.00437
6.87120	0.00459
6.96434	0.00448
7.07817	0.00423
7.18165	0.00406
7.34722	0.00366
7.50244	0.00313
7.63697	0.00165
7.76115	0.00107
7.89567	0.00074
8.04055	0.00073
8.20612	0.00029
8.37169	0.00015
8.55796	0.00003
8.71318	0.00018
8.90980	0.00066
9.10641	0.00142
9.28233	0.00091
9.46860	0.00095
9.66522	0.00086
9.81009	0.00156
9.97566	0.00208
10.14123	0.00166
10.27576	0.00208
10.41029	0.00218
10.54481	0.00266
10.67934	0.00270
10.81386	0.00272
10.93804	0.00309
11.03118	0.00313
11.13466	0.00349
11.21744	0.00409
11.31058	0.00440
11.40371	0.00471
11.48650	0.00472
11.58998	0.00610
11.70381	0.00650
11.79694	0.00722
12.00391	0.00754
12.12809	0.00810
12.27296	0.00846
12.41784	0.00845
12.59375	0.00848
12.69724	0.00825
12.82141	0.00724
12.95594	0.00627
13.06977	0.00560
13.19395	0.00586
13.32848	0.00606
13.45265	0.00650
13.56649	0.00687
13.66997	0.00666
13.78380	0.00640
13.89763	0.00637
14.01146	0.00614
14.11494	0.00556
14.21842	0.00530
14.34260	0.00506
14.44608	0.00504
14.57026	0.00571
14.66339	0.00707
14.76688	0.00819
14.88071	0.00928
14.98419	0.00985
15.08767	0.01076
15.22220	0.01197
15.33603	0.01255
15.51195	0.01322
15.65682	0.01318
15.76030	0.01340
15.89483	0.01426
16.00866	0.01521
16.17423	0.01661
16.28806	0.01816
16.38119	0.02065
16.47433	0.02275
16.63990	0.02546
16.79512	0.02902
16.90895	0.03188
17.06418	0.03464
17.25044	0.03813
17.44706	0.04368
17.58159	0.05051
17.77820	0.05912
17.99551	0.07012
18.23352	0.08300
18.45083	0.09766
18.60606	0.11319
18.75093	0.12874
18.89581	0.14458
19.03033	0.15978
19.17521	0.17353
19.30973	0.18738
19.44426	0.20201
19.60983	0.21593
19.77540	0.23054
19.92028	0.24541
20.04446	0.25986
20.17898	0.27454
20.30316	0.28839
20.39629	0.30128
20.51012	0.31404
20.61361	0.32597
20.73778	0.33612
20.88266	0.34603
21.05858	0.35580
21.18276	0.36483
21.35868	0.37331
21.49320	0.38117
21.64843	0.38841
21.85539	0.39533
21.96922	0.40161
22.10375	0.40797
22.31071	0.41392
22.47628	0.41933
22.61081	0.42416
22.80742	0.42818
22.94195	0.43192
23.09717	0.43543
23.21100	0.43843
23.39727	0.44070
23.52145	0.44218
23.64563	0.44314
23.75946	0.44370
23.90433	0.44411
24.02851	0.44428
24.14234	0.44325
24.24582	0.44244
24.37000	0.44084
24.46314	0.43916
24.57697	0.43736
24.71149	0.43508
24.83567	0.43168
24.95985	0.42706
25.08403	0.42164
25.18751	0.41619
25.31169	0.41022
25.43587	0.40336
25.58074	0.39577
25.74631	0.38706
25.89119	0.37628
26.01537	0.36332
26.14989	0.34848
26.30511	0.33034
26.44999	0.30959
26.58452	0.28547
26.72939	0.25936
26.88461	0.23312
27.02949	0.20598
27.18471	0.18009
27.31924	0.15597
27.47446	0.13325
27.59864	0.11263
27.74351	0.09510
27.86769	0.07999
28.00222	0.06697
28.12640	0.05650
28.24023	0.04796
28.36441	0.04102
28.45754	0.03575
28.56102	0.03102
28.67485	0.02873
28.78868	0.02694
28.89216	0.02629
29.00599	0.02463
29.09913	0.02369
29.22331	0.02205
29.30609	0.02041
29.44062	0.01890
29.55445	0.01753
29.67863	0.01637
29.81315	0.01548
29.94768	0.01490
30.09255	0.01469
