Black Body Radiation Experiment Tue, Nov 23, 2021 11:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	-0.00383
0.02070	-0.00224
0.04139	-0.00093
0.06209	0.00009
0.07244	0.00085
0.09313	0.00134
0.11383	0.00158
0.15522	0.00125
0.18627	0.00138
0.23801	0.00050
0.33114	-0.00048
0.48637	-0.00073
0.76577	-0.00043
1.11761	-0.00045
1.37631	-0.00077
1.56258	-0.00095
1.70745	-0.00091
1.77989	0.00015
1.83163	0.00017
1.90407	-0.00011
1.96616	-0.00012
2.03859	-0.00019
2.09034	-0.00015
2.12138	-0.00027
2.14208	-0.00024
2.15242	-0.00050
2.15242	-0.00072
2.16277	-0.00054
2.16277	0.00038
2.18347	0.00118
2.22486	0.00169
2.30765	0.00202
2.44217	0.00303
2.59740	0.00338
2.71123	0.00287
2.81471	0.00220
2.87680	0.00143
2.91819	0.00079
2.95958	-0.00048
3.00098	-0.00064
3.04237	-0.00062
3.09411	-0.00086
3.14585	-0.00090
3.21829	-0.00117
3.31142	-0.00078
3.38386	-0.00075
3.45630	-0.00069
3.53908	-0.00022
3.63222	-0.00019
3.73570	0.00053
3.83918	0.00132
3.96336	0.00276
4.11858	0.00331
4.25311	0.00341
4.39798	0.00311
4.51181	0.00321
4.61530	0.00327
4.70843	0.00333
4.82226	0.00296
4.94644	0.00292
5.08096	0.00294
5.23619	0.00344
5.39141	0.00445
5.55698	0.00496
5.71220	0.00510
5.86743	0.00538
6.03300	0.00552
6.16752	0.00614
6.26066	0.00636
6.43658	0.00646
6.57110	0.00657
6.70563	0.00687
6.80911	0.00699
6.94364	0.00639
7.06782	0.00614
7.16095	0.00603
7.25409	0.00586
7.31617	0.00556
7.40931	0.00545
7.47140	0.00462
7.56453	0.00381
7.66801	0.00286
7.77150	0.00233
7.88533	0.00222
8.01985	0.00134
8.13368	0.00086
8.26821	0.00053
8.42343	0.00115
8.55796	0.00161
8.70283	0.00193
8.82701	0.00245
8.97189	0.00269
9.10641	0.00382
9.15815	0.00444
9.28233	0.00506
9.39616	0.00523
9.47895	0.00487
9.56173	0.00483
9.69626	0.00472
9.77905	0.00512
9.87218	0.00549
9.95496	0.00525
10.01705	0.00558
10.08949	0.00675
10.16193	0.00722
10.29646	0.00736
10.38959	0.00760
10.49307	0.00747
10.58620	0.00690
10.66899	0.00679
10.75178	0.00733
10.84491	0.00763
10.94839	0.00825
11.07257	0.00871
11.18640	0.00914
11.25884	0.00942
11.41406	0.00922
11.49685	0.00995
11.61068	0.01010
11.72451	0.00973
11.82799	0.00899
11.94182	0.00892
12.03495	0.00943
12.17983	0.00912
12.27296	0.00995
12.38679	0.01073
12.45923	0.01081
12.57306	0.01102
12.74898	0.01200
12.86281	0.01273
12.97664	0.01303
13.13186	0.01365
13.21465	0.01468
13.34917	0.01558
13.47335	0.01658
13.57683	0.01743
13.69066	0.01857
13.83554	0.01941
13.95972	0.02062
14.07355	0.02132
14.20807	0.02282
14.39434	0.02358
14.54956	0.02538
14.67374	0.02759
14.82897	0.03036
14.97384	0.03263
15.06697	0.03557
15.22220	0.03980
15.31533	0.04335
15.46020	0.04803
15.58438	0.05455
15.72926	0.06037
15.86378	0.06795
16.02936	0.07624
16.19493	0.08554
16.37085	0.09623
16.51572	0.10956
16.66060	0.12404
16.79512	0.14098
16.94000	0.15985
17.09522	0.17987
17.21940	0.20195
17.32288	0.22584
17.43671	0.24930
17.52984	0.27410
17.64367	0.29905
17.75750	0.32427
17.89203	0.35144
18.00586	0.38018
18.11969	0.41040
18.24387	0.44348
18.38874	0.47739
18.53362	0.51529
18.68884	0.55634
18.83372	0.59966
18.99929	0.64553
19.17521	0.69283
19.34078	0.74114
19.42356	0.79019
19.58914	0.83921
19.75471	0.88802
19.89958	0.93472
20.06515	0.97939
20.22038	1.02136
20.40664	1.06382
20.59291	1.10580
20.72744	1.14701
20.92405	1.18706
21.12067	1.22608
21.33798	1.26283
21.53460	1.29797
21.66912	1.32965
21.84504	1.35910
22.02096	1.38384
22.13479	1.40536
22.27967	1.42275
22.41419	1.43884
22.56942	1.45312
22.67290	1.46563
22.78673	1.47588
22.91091	1.48546
23.08683	1.49266
23.19031	1.49857
23.30414	1.50225
23.41797	1.50573
23.53180	1.50786
23.63528	1.50926
23.76981	1.50887
23.87329	1.50881
23.99747	1.50683
24.12165	1.50372
24.25617	1.49812
24.41139	1.49079
24.54592	1.48112
24.67010	1.46770
24.81497	1.45224
24.93915	1.43383
25.07368	1.41216
25.20821	1.38862
25.33238	1.36064
25.46691	1.32954
25.59109	1.29251
25.72562	1.24982
25.86014	1.20114
25.99467	1.14590
26.13954	1.08488
26.25337	1.01724
26.39825	0.94448
26.54312	0.86677
26.66730	0.78583
26.82252	0.70316
26.95705	0.62035
27.09158	0.54005
27.21576	0.46330
27.37098	0.39305
27.49516	0.33017
27.66073	0.27578
27.78491	0.23011
27.91943	0.19236
28.07466	0.16186
28.24023	0.13724
28.42649	0.11778
28.62311	0.10154
28.81973	0.08851
29.01634	0.07749
29.21296	0.06886
29.41992	0.06185
29.62689	0.05594
29.81315	0.05060
29.98907	0.04531
30.17534	0.03953
