Black Body Radiation Experiment Tue, Nov 23, 2021 11:23 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	0.00008
0.01035	0.00127
0.01035	0.00168
0.01035	0.00149
0.02070	0.00088
0.02070	0.00003
0.03104	-0.00088
0.04139	-0.00188
0.06209	-0.00173
0.08279	-0.00092
0.08279	0.00018
0.09313	0.00078
0.10348	0.00058
0.12418	0.00064
0.12418	0.00092
0.13453	0.00107
0.13453	0.00079
0.13453	-0.00006
0.13453	-0.00108
0.14487	-0.00142
0.15522	-0.00130
0.16557	-0.00110
0.18627	-0.00079
0.22766	-0.00103
0.25870	-0.00169
0.31045	-0.00096
0.35184	-0.00036
0.41393	0.00027
0.50706	0.00032
0.67263	0.00009
0.86925	-0.00015
1.06586	-0.00027
1.22109	-0.00067
1.35561	-0.00105
1.47979	-0.00156
1.58327	-0.00257
1.66606	-0.00268
1.71780	-0.00169
1.72815	-0.00046
1.72815	0.00037
1.72815	0.00033
1.72815	0.00119
1.72815	0.00106
1.72815	0.00098
1.72815	0.00034
1.72815	0.00067
1.73850	-0.00079
1.73850	-0.00145
1.73850	-0.00045
1.73850	0.00003
1.73850	0.00055
1.73850	0.00087
1.73850	0.00134
1.73850	0.00213
1.74885	0.00184
1.74885	0.00162
1.74885	0.00130
1.74885	0.00116
1.74885	0.00028
1.75919	0.00045
1.76954	0.00123
1.79024	0.00128
1.81093	0.00144
1.83163	0.00294
1.87302	0.00356
1.95581	0.00355
2.03859	0.00297
2.14208	0.00277
2.26625	0.00252
2.40078	0.00268
2.56635	0.00245
2.65949	0.00252
2.75262	0.00306
2.82506	0.00306
2.87680	0.00288
2.93889	0.00302
2.99063	0.00243
3.05272	0.00193
3.10446	0.00135
3.16655	0.00133
3.23899	0.00145
3.32177	0.00224
3.42525	0.00199
3.54943	0.00240
3.66326	0.00254
3.78744	0.00280
3.91162	0.00297
4.05649	0.00253
4.15997	0.00306
4.26346	0.00364
4.38764	0.00389
4.50147	0.00424
4.65669	0.00482
4.76017	0.00531
4.85330	0.00500
4.99818	0.00494
5.10166	0.00438
5.21549	0.00475
5.28793	0.00444
5.41211	0.00389
5.52594	0.00425
5.62942	0.00423
5.75360	0.00474
5.87778	0.00526
5.98126	0.00620
6.08474	0.00638
6.20892	0.00658
6.36414	0.00589
6.49867	0.00552
6.72633	0.00586
6.86085	0.00632
7.02643	0.00660
7.21269	0.00745
7.39896	0.00784
7.57488	0.00877
7.81289	0.00960
7.99916	0.01016
8.18542	0.00988
8.37169	0.01012
8.55796	0.00930
8.74423	0.00967
8.93049	0.00972
9.11676	0.01058
9.23059	0.01049
9.42721	0.01044
9.60313	0.01025
9.77905	0.01036
9.91357	0.01038
10.05845	0.01101
10.21367	0.01060
10.33785	0.01130
10.45168	0.01146
10.59655	0.01214
10.70003	0.01315
10.79317	0.01402
10.91735	0.01352
11.00013	0.01353
11.11396	0.01379
11.19675	0.01341
11.27953	0.01318
11.35197	0.01338
11.43476	0.01262
11.51754	0.01266
11.62102	0.01359
11.69346	0.01430
11.81764	0.01556
11.90043	0.01627
12.02460	0.01663
12.13843	0.01817
12.25226	0.01935
12.44888	0.01948
12.57306	0.02000
12.62480	0.02076
12.79037	0.02150
12.90420	0.02171
13.10082	0.02228
13.23534	0.02299
13.36987	0.02385
13.49405	0.02501
13.63892	0.02610
13.75275	0.02833
13.87693	0.02966
14.06320	0.03031
14.22877	0.03120
14.38399	0.03331
14.50817	0.03581
14.63235	0.03761
14.82897	0.04056
14.94280	0.04531
15.10837	0.05088
15.30498	0.05824
15.47055	0.06608
15.66717	0.07554
15.84309	0.08546
16.00866	0.09720
16.16388	0.11121
16.36050	0.12772
16.52607	0.14630
16.72268	0.16766
16.92965	0.19435
17.08487	0.22482
17.27114	0.25950
17.45741	0.29797
17.64367	0.33827
17.80925	0.38320
17.97482	0.43119
18.13004	0.48189
18.30596	0.53586
18.47153	0.59255
18.64745	0.65202
18.82337	0.71381
18.99929	0.77731
19.17521	0.84136
19.36147	0.90495
19.49600	0.96749
19.65122	1.02901
19.82714	1.08966
20.00306	1.14884
20.18933	1.20719
20.38595	1.26498
20.59291	1.32276
20.77918	1.38035
21.00684	1.43563
21.22415	1.48932
21.46216	1.53957
21.72086	1.58576
21.94852	1.62666
22.18653	1.66317
22.38315	1.69383
22.51767	1.71907
22.73499	1.73962
22.89021	1.75568
23.03508	1.76851
23.16961	1.78011
23.29379	1.78889
23.45936	1.79612
23.55249	1.80057
23.67667	1.80419
23.80085	1.80441
23.92503	1.80369
24.04921	1.80064
24.16304	1.79520
24.27687	1.78819
24.37000	1.77929
24.51488	1.76835
24.62871	1.75565
24.75289	1.74025
24.87706	1.72180
25.02194	1.69916
25.14612	1.67337
25.27029	1.64165
25.38413	1.60519
25.52900	1.56160
25.67387	1.51215
25.79805	1.45515
25.94293	1.38912
26.06711	1.31814
26.20163	1.23856
26.32581	1.15461
26.46034	1.06606
26.59486	0.97455
26.71904	0.88200
26.84322	0.78921
26.96740	0.69914
27.07088	0.61158
27.18471	0.53075
27.26750	0.45532
27.39168	0.38707
27.47446	0.32917
27.58829	0.27768
27.68142	0.23608
27.76421	0.20168
27.84700	0.17364
27.94013	0.15094
28.01257	0.13163
28.09535	0.11583
28.16779	0.10189
28.19883	0.09108
28.26092	0.08108
28.35406	0.07336
28.43684	0.06718
28.51963	0.06158
28.59207	0.05739
28.67485	0.05403
28.77833	0.05079
28.87147	0.04788
28.98530	0.04460
29.09913	0.04231
29.22331	0.04013
29.36818	0.03840
29.50271	0.03736
29.60619	0.03656
29.70967	0.03589
29.84420	0.03522
29.97872	0.03444
30.09255	0.03342
