Black Body Radiation Experiment Tue, Nov 23, 2021 10:58 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	0.00128
0.01035	0.00123
0.03104	0.00090
0.04139	0.00037
0.07244	-0.00023
0.18627	-0.00079
0.41393	-0.00122
0.77611	-0.00078
1.07621	-0.00060
1.24178	-0.00016
1.29352	0.00088
1.30387	0.00213
1.31422	0.00264
1.32457	0.00369
1.34527	0.00315
1.39701	0.00335
1.46944	0.00242
1.58327	0.00187
1.70745	0.00195
1.84198	0.00228
1.98685	0.00202
2.15242	0.00144
2.30765	0.00113
2.48357	0.00126
2.61809	0.00147
2.77332	0.00197
2.94924	0.00153
3.12516	0.00185
3.32177	0.00109
3.50804	0.00129
3.68396	0.00108
3.87023	0.00147
4.06684	0.00082
4.27380	0.00039
4.48077	-0.00006
4.67738	0.00009
4.91539	0.00055
5.15340	0.00017
5.37071	-0.00013
5.61907	0.00022
5.82603	0.00013
6.02265	0.00084
6.22961	0.00194
6.40553	0.00294
6.59180	0.00302
6.77807	0.00348
6.98503	0.00379
7.22304	0.00377
7.48175	0.00367
7.69906	0.00238
7.92672	0.00221
8.13368	0.00223
8.36134	0.00195
8.56831	0.00199
8.81666	0.00285
9.05467	0.00241
9.28233	0.00179
9.49964	0.00166
9.68591	0.00224
9.90322	0.00200
10.09984	0.00196
10.28611	0.00176
10.47237	0.00185
10.66899	0.00227
10.78282	0.00290
11.07257	0.00356
11.20710	0.00476
11.42441	0.00518
11.65207	0.00545
11.83834	0.00591
12.08669	0.00687
12.37644	0.00767
12.57306	0.00812
12.79037	0.00782
12.96629	0.00763
13.19395	0.00764
13.41126	0.00836
13.75275	0.00876
14.01146	0.00952
14.25981	0.00960
14.49782	0.01000
14.71513	0.00957
14.89105	0.01029
15.10837	0.01148
15.32568	0.01328
15.53264	0.01428
15.73961	0.01680
16.05005	0.02132
16.25702	0.02712
16.57781	0.03441
16.86756	0.04449
17.14696	0.05628
17.43671	0.07106
17.71611	0.08915
17.99551	0.11112
18.25422	0.13636
18.56466	0.16569
18.90615	0.19720
19.18556	0.23285
19.47531	0.27119
19.77540	0.30889
20.13759	0.34657
20.48943	0.38424
20.79987	0.41898
21.08962	0.45205
21.44146	0.48316
21.76226	0.51031
22.11410	0.53418
22.43489	0.55487
22.81777	0.57151
23.15926	0.58512
23.56284	0.59548
23.91468	0.60161
24.18373	0.60499
24.43209	0.60566
24.64940	0.60245
24.90811	0.59571
25.17716	0.58514
25.46691	0.56923
25.70492	0.54782
25.96362	0.51863
26.20163	0.48185
26.44999	0.43812
26.67765	0.38980
26.92601	0.33841
27.15367	0.28782
27.38133	0.24003
27.61934	0.19657
27.84700	0.15880
28.11605	0.12839
28.38510	0.10384
28.61276	0.08540
28.85077	0.07064
29.04739	0.05888
29.28539	0.04998
29.52340	0.04342
29.74072	0.03871
29.97872	0.03533
30.19604	0.03278
