Black Body Radiation Experiment Tue, Nov 23, 2021 11:22 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.01035	0.00117
0.02070	0.00134
0.05174	0.00122
0.08279	0.00088
0.11383	0.00039
0.14487	-0.00016
0.19662	-0.00072
0.23801	-0.00118
0.28975	-0.00135
0.34149	-0.00158
0.41393	-0.00124
0.49671	-0.00095
0.57950	-0.00028
0.62089	0.00062
0.70368	0.00174
0.78646	0.00184
0.92099	0.00245
0.99343	0.00239
1.00378	0.00205
1.03482	0.00133
1.15900	0.00093
1.30387	0.00032
1.46944	-0.00011
1.59362	-0.00042
1.70745	-0.00012
1.81093	0.00067
1.94546	0.00145
2.10068	0.00106
2.24556	0.00135
2.41113	0.00124
2.56635	0.00102
2.71123	0.00037
2.87680	0.00050
2.99063	0.00010
3.15620	-0.00018
3.30107	0.00028
3.45630	0.00053
3.59082	0.00042
3.76674	0.00038
3.91162	0.00030
4.05649	0.00039
4.18067	0.00038
4.32555	0.00052
4.44972	0.00036
4.58425	0.00097
4.70843	0.00099
4.85330	0.00134
4.97748	0.00157
5.09131	0.00107
5.19479	0.00083
5.31897	0.00018
5.44315	0.00015
5.57768	0.00006
5.69151	0.00018
5.79499	0.00106
5.90882	0.00161
6.02265	0.00239
6.13648	0.00362
6.28136	0.00405
6.38484	0.00434
6.47797	0.00478
6.56076	0.00501
6.64354	0.00445
6.72633	0.00474
6.87120	0.00519
6.95399	0.00518
7.03677	0.00540
7.12991	0.00529
7.22304	0.00515
7.33687	0.00519
7.44035	0.00437
7.56453	0.00432
7.68871	0.00420
7.80254	0.00365
7.92672	0.00331
8.05090	0.00339
8.17507	0.00377
8.25786	0.00377
8.40274	0.00414
8.52691	0.00455
8.65109	0.00462
8.78562	0.00435
8.88910	0.00462
9.01328	0.00485
9.13746	0.00500
9.25129	0.00568
9.37547	0.00562
9.50999	0.00602
9.61347	0.00698
9.74800	0.00756
9.86183	0.00849
9.98601	0.00868
10.14123	0.00926
10.26541	0.00955
10.41029	0.01015
10.52412	0.01073
10.64829	0.01123
10.77247	0.01223
10.87595	0.01226
11.03118	0.01278
11.11396	0.01362
11.22779	0.01357
11.33127	0.01337
11.42441	0.01295
11.52789	0.01359
11.64172	0.01425
11.70381	0.01452
11.81764	0.01472
11.94182	0.01496
12.07634	0.01590
12.25226	0.01642
12.41784	0.01704
12.55236	0.01749
12.67654	0.01816
12.80072	0.01861
12.92490	0.01944
13.11116	0.02069
13.23534	0.02319
13.36987	0.02500
13.48370	0.02717
13.66997	0.02913
13.80449	0.03200
13.93902	0.03388
14.12529	0.03619
14.32190	0.03795
14.47713	0.04129
14.60130	0.04355
14.71513	0.04734
14.88071	0.05200
15.02558	0.05855
15.19115	0.06585
15.36707	0.07472
15.54299	0.08379
15.67752	0.09512
15.86378	0.10760
16.02936	0.12201
16.19493	0.13900
16.38119	0.15828
16.56746	0.18072
16.75373	0.20871
16.91930	0.24066
17.11592	0.27793
17.32288	0.32114
17.55054	0.36907
17.76785	0.42437
17.97482	0.48826
18.19213	0.55743
18.39909	0.63195
18.62675	0.71151
18.84407	0.79429
19.06138	0.88091
19.26834	0.96934
19.45461	1.05732
19.65122	1.14705
19.85819	1.23529
20.08585	1.32266
20.30316	1.41107
20.55152	1.49720
20.77918	1.57953
21.02753	1.65660
21.28624	1.72786
21.51390	1.79225
21.72086	1.84807
21.93818	1.89715
22.10375	1.93911
22.27967	1.97602
22.44524	2.00604
22.63150	2.03261
22.84882	2.05611
23.01439	2.07600
23.19031	2.09264
23.33518	2.10465
23.49041	2.11442
23.78015	2.12035
23.92503	2.12235
24.09060	2.12213
24.22513	2.11748
24.39070	2.10732
24.54592	2.09310
24.71149	2.07402
24.86672	2.05071
25.01159	2.02127
25.14612	1.98712
25.30134	1.94618
25.42552	1.89916
25.57039	1.84520
25.69457	1.78195
25.83945	1.71111
25.96362	1.63201
26.09815	1.54445
26.25337	1.44891
26.37755	1.34643
26.51208	1.23751
26.64660	1.12402
26.77078	1.00921
26.92601	0.89176
27.06053	0.77732
27.19506	0.66814
27.28819	0.56673
27.38133	0.47657
27.50551	0.39869
27.67108	0.33268
27.77456	0.27766
27.91943	0.23401
28.02292	0.19856
28.16779	0.16991
28.30232	0.14656
28.43684	0.12598
28.55067	0.10996
28.68520	0.09707
28.83007	0.08668
28.97495	0.07724
29.10948	0.07021
29.23365	0.06405
29.36818	0.05908
29.48201	0.05519
29.61654	0.05185
29.73037	0.04876
29.87524	0.04559
29.99942	0.04201
30.12360	0.03772
